Italiano,Español
non,No
di,De
che,Eso
è,Y
e,Y
la,allá
il,El
un,a
a,a
per,Para
in,en
una,a
mi,a mí
sono,Soy
ho,Tengo
ma,pero
l',L '
lo,el
ha,tiene
le,el
si,Sí
ti,tú
i,el
con,con
cosa,Qué
se,ser
io,I
come,como
da,de
ci,Allá
no,No
questo,Este
qui,aquí
e',Y'
hai,tienes
sei,seis
del,del
bene,Bien
tu,tú
sì,Sí
me,mí mismo
più,más
al,hacia
mio,mi
c',allá
perché,Por qué
lei,ella
solo,Solo
te,tú
era,era
gli,El
tutto,Todo
della,desde el
così,Como esto
mia,mi
ne,ni
questa,este
fare,Hacer
quando,cuando
ora,Ahora
fatto,Hecho
essere,ser
so,Sé
mai,nunca
chi,OMS
o,o
alla,en el
tutti,todos
molto,Muy
dei,del
anche,También
detto,dicho
quello,eso
va,va
niente,Nada
grazie,Gracias
lui,él
voglio,Quiero
abbiamo,tenemos
stato,estado
nel,En el
suo,su
dove,Dónde
posso,Puedo
oh,Oh
prima,Antes
allora,En ese tiempo
siamo,somos
d',d '
uno,uno
un',a
sua,su
tuo,su
hanno,ellos tienen
noi,nosotros
sta,es
fa,hace
due,dos
vuoi,quieres
ancora,Aún
qualcosa,algo
vero,Verdadero
casa,hogar
sia,es
su,en
tua,su
sempre,Siempre
forse,Tal vez
dire,decir
vi,tú
loro,Ellos
i',el'
altro,otro
sai,sabes
stai,eres
devo,Tengo que
quella,eso
vita,vida
quel,eso
delle,desde el
tempo,tiempo
andare,ir
certo,Cierto
poi,Entonces
nella,en el
uomo,hombre
signore,Hidalgo
ad,a
po',poco'
può,poder
credo,Yo creo
voi,tú
già,Ya
adesso,Ahora
andiamo,vamos
anni,años
all',en
visto,vista
fuori,afuera
proprio,propio
parte,parte
davvero,En realidad
vuole,quiere
li,allá
dell',de
sto,este
quanto,Cuánto
volta,tiempo
via,Calle
sul,sobre el
é,Y
dio,Dios
sarà,será
dopo,Después
senza,sin
cose,cosas
nessuno,Nadie
fai,tú haces
giorno,día
ed,y
meglio,Mejor
padre,padre
puoi,puede
ciao,HOLA
cos',entonces
devi,tienes que
ecco,Aquí estás
qualcuno,alguien
dal,desde el
lavoro,Trabajar
sa,saber
ai,hacia
vedere,ver
ogni,Todo esta bien
ii,II
troppo,también
posto,lugar
cui,cual
tanto,mucho
male,malo
dai,vamos
ce,hay
bisogno,necesidad
signor,Señor
beh,Bien
perchè,Por qué
vieni,Vienes
alle,a
dalla,desde el
stata,era
tra,Entre
vai,Ir
ehi,Ey
